GAME_ID,Team,Opponent,Result,Points_For,Points_Against,Pass_Yards,Rush_Yards,Total_Yards,First_Downs,Turnovers,TOP,RZ_TD_Made,Pass_Yards_Allowed,Rush_Yards_Allowed,Total_Yards_Allowed,Sacks_For,Takeaways,Point_Differential,Playbook
1,GB,IND,W,35,10,241,160,401,25,1,14:01,2,175,100,275,3,1,25,WestCoast Zone Run
2,GB,LAR,W,24,12,259,124,383,23,0,15:01,2,175,75,250,2,1,12,WestCoast Zone Run
3,GB,DET,L,20,34,201,29,230,19,2,16:01,1,230,120,350,0,1,-14,WestCoast Zone Run
4,GB,SF,L,21,24,177,136,313,22,2,17:01,2,258,130,394,2,1,-3,WestCoast Zone Run
5,GB,ATL,W,35,24,342,155,497,20,1,18:01,1,275,67,375,4,3,11,WestCoast Zone Run
6,GB,CAR,W,34,17,386,152,538,22,0,19:01,1,243,85,300,5,2,17,WestCoast Zone Run
10,GB,KC,W,41,21,363,155,518,19,1,20:01,1,355,106,405,4,2,20,WestCoast Zone Run
11,GB,NE,W,38,10,317,152,469,20,0,21:01,1,184,100,221,6,2,28,WestCoast Zone Run
12,GB,TB,W,31,10,302,132,434,20,0,22:01,1,214,50,262,3,2,21,WestCoast Zone Run
13,GB,PHI,L,14,22,119,135,254,14,1,19:39,2,215,65,324,2,1,-8,WestCoast Zone Run
14,GB,JAX,W,34,10,219,102,321,18,0,8:15,2,137,35,197,1,6,24,WestCoast Zone Run
15,GB,PIT,L,26,28,334,77,411,14,0,1:40,2,257,95,340,3,1,-2,WestCoast Zone Run
16,GB,IND,W,35,32,254,129,383,20,1,23:19,1,254,92,342,0,1,3,WestCoast Zone Run
17,GB,CHI,L,20,27,320,158,478,25,1,13:21,2,195,130,391,2,3,-7,WestCoast Zone Run
18,GB,NYG,L,21,24,118,219,337,18,1,19:40,3,225,110,357,1,2,-3,WestCoast Zone Run
19,GB,WAS,W,36,28,263,159,422,23,1,18:15,2,213,68,283,4,0,8,WestCoast Zone Run
20,GB,ATL,L,10,31,191,131,322,18,0,22:01,2,237,38,267,3,1,-21,WestCoast Zone Run
21,GB,PIT,W,38,13,252,203,455,24,0,23:15,1,219,50,279,2,0,25,WestCoast Zone Run
22,GB,DET,L,21,24,239,94,338,18,1,19:15,1,215,105,357,2,0,-3,WestCoast Zone Run
23,GB,DAL,W,34,31,160,135,295,13,3,14:08,2,134,38,255,2,1,3,WestCoast Zone Run
24,GB,PHI,W,38,28,253,119,372,20,0,18:16,4,205,48,364,2,2,10,Vertical Zone Run
25,GB,NYG,W,29,3,264,161,425,25,0,18:00,2,118,35,160,1,1,26,Vertical Zone Run
26,GB,CAR,W,24,21,264,87,357,,1,6:32,1,265,70,381,2,0,3,Vertical Zone Run
27,GB,CHI,L,23,31,199,106,305,17,1,21:03,1,204,89,420,1,3,0,Vertical Zone Run
29,GB,BAL,L,21,27,191,88,279,14,0,20:31,1,331,125,486,1,1,0,Vertical Zone Run
30,GB,CIN,L,10,24,201,102,303,20,1,20:01,1,190,106,296,2,0,0,Vertical Zone Run
31,GB,MIN,W,45,35,303,145,448,23,1,0:31,3,335,102,397,0,3,10,WestCoast Zone Run
32,GB,IND,L,6,31,109,91,202,11,1,20:30,2,268,67,,,,0,WestCoast Zone Run
